Código IBGE,Município,UF,Área (km²),População 2022,PIB per capita 2021,Índice de Progresso Social,Necessidades Humanas Básicas,Fundamentos do Bem-estar,Oportunidades,Nutrição e Cuidados Médicos Básicos,Água e Saneamento,Moradia,Segurança Pessoal,Acesso ao Conhecimento Básico,Acesso à Informação e Comunicação,Saúde e Bem-estar,Qualidade do Meio Ambiente,Direitos Individuais,Liberdades Individuais e de Escolha,Inclusão Social,Acesso à Educação Superior,Cobertura Vacinal (Poliomielite),Hospitalizações por Condições Sensíveis à Atenção Primária,Mortalidade Ajustada por Condições Sensíveis à Atenção Primária,Mortalidade Infantil até 5 Anos,Subnutrição,Abastecimento de Água via Rede de Distribuição,Esgotamento Sanitário Adequado,Índice de Abastecimento de Água,Índice de Perdas de Água na Distribuição,Domicílios com Coleta de Resíduos Adequada,Domicílios com Iluminação Elétrica Adequada,Domicílios com Paredes Adequadas,Domicílios com Piso Adequado,Assassinatos de Jovens,Assassinatos de Mulheres,Homicídios,Mortes por Acidente de Transporte,Abandono no Ensino Fundamental,Abandono no Ensino Médio,Evasão no Ensino Médio,Distorção Idade-Série no Ensino Médio,Ideb Ensino Fundamental,Reprovação Escolar no Ensino Médio,Cobertura de Internet Móvel (4G/5G),Densidade de Internet Banda Larga Fixa,Densidade de Telefonia Móvel,Qualidade de Internet Móvel,Consumo de Alimentos Ultraprocesados,Expectativa de Vida,Mortalidade entre 15 e 50 anos,Mortalidade por Doenças Crônicas Não Transmissíveis,Obesidade,Suicídios,Áreas Verdes Urbanas,Emissões de CO₂e por Habitante,Focos de Calor,Índice de Vulnerabilidade Climática dos Municípios (IVCM),Supressão da Vegetação Primária e Secundária,Acesso a Programas de Direitos Humanos,Existência de Ações para Direitos de Minorias,Índice de Atendimento à Demanda de Justiça,Resposta a Processos Previdenciários,Resposta a Processos Familiares,Taxa de Congestionamento Líquido de Processos,"Acesso à Cultura, Lazer e Esporte",Gravidez na Adolescência (<19 anos),Índice de Vulnerabilidade das Famílias do Cadastro Único (IVCAD),Praças e Parques em Áreas Urbanas,Famílias em Situação de Rua,Paridade de Gênero na Câmara Municipal,Paridade de Negros na Câmara Municipal,Violência contra Indígenas,Violência contra Mulheres,Violência contra Negros,Empregados com Ensino Superior,Mulheres Empregadas com Ensino Superior,Nota Mediana do Enem
1100015,Alta Floresta D'Oeste (RO),RO,7067.127,22853.0,32373.4574760425,53.6030805394055,64.6128553978861,55.3457112158593,40.850675004471,74.1328497444539,30.838882980398,88.472815575835,65.0068732908576,73.7934968998676,55.8880468033652,51.8217129547533,39.879588205451,24.9703461617831,50.9363464924445,48.6089804476821,38.8870269159742,93.2565691064341,4187.71130504197,160.645757371772,9.36477238276635,3.71231986399676,25.6435450204477,4.03990335992887,45.3125,60.86,54.0567023530362,94.4124740726784,88.0269356581618,96.7777117327137,20.9467951403436,4.69483568075118,18.6089788322866,19.5403368381874,2.11666666666667,3.36666666666667,8.03333333333333,23.7,5.075,3.53333333333333,66.75,7.88,68.83,94.0741,52.4844720496894,70.75,2.46491543720763,460.388232017098,20.1549093670873,17.6793523774076,1.44762635844833,173.8374714498,74.4393784311901,51.82,33.7766990682345,3.0,0.0,96.5,273.475498366751,223.355946535734,27.0,3.0,16.5658027453619,0.305987168520103,4.31115463921842,4.88180415847903,0.4,0.817759853903516,64.3356643356644,503.286384976526,154.20200462606,50.7992130121851,64.4324639370538,534.826972064001
1100023,Ariquemes (RO),RO,4426.143,108573.0,29778.9713400201,55.9174671532921,67.4379374292695,60.8385264343406,39.4759375962662,72.1563559737134,50.3214311327056,92.8231513032395,54.4508113074194,71.7719483347295,70.2733058158607,52.8726914711672,48.4361601156048,20.5085987936293,54.8394306994127,46.375619749485,36.1801011425379,87.1262489421742,1196.59392763971,168.844174981852,15.7192888468707,4.46936892397364,47.3471989459221,5.94435613359092,72.2125,43.20625,90.7268954988841,90.7378004087606,90.3949536530855,96.4598015988833,47.9378461029837,7.77971133176374,27.2634329205952,29.3288445054888,0.983333333333333,6.28333333333333,8.68333333333333,24.35,4.93333333333333,6.73333333333333,86.16,25.72,89.76,94.3536,70.1654357161917,73.36,2.62576368126869,478.66733483323,23.2276538960101,10.5335990829573,2.35182243263191,26.9250610764929,9.91397560748918,49.41,60.7897380743969,2.0,0.0,103.0,227.888892303666,277.86631369293,41.8,7.0,16.3870929655539,0.296985466794995,3.52086822777359,19.0064773167909,0.545454545454545,0.270225469280003,154.639175257732,315.283038182004,155.941366046367,46.1282212384316,57.8026729559748,528.485325986102
1100031,Cabixi (RO),RO,1314.352,5690.0,42206.047029877,52.1038447655131,59.1930192048426,50.0066313634038,47.1118837282929,66.8745209495816,40.3665368903008,88.2891841843897,41.2418347950984,78.1292141216846,38.1526891981061,45.0018523235846,38.7427698102397,22.6210788035447,53.7418767221269,81.5302168613001,30.5543625261999,94.8910690758517,3121.56447861887,169.569121733286,32.6300085251492,3.98890428376757,41.9811571385553,17.8740574974818,39.87125,42.20375,66.7605453110039,80.4427341627603,92.5816888280363,98.6334191464049,53.648068669528,18.8893086513034,26.1047920939772,46.7202392076248,0.0833333333333333,2.63333333333333,8.46666666666667,16.7333333333333,5.1,1.61666666666667,47.72,0.27,64.19,54.5392363636364,77.7462121212121,70.39,2.82714054927302,361.434900138235,28.7010070296575,24.9174609107332,2.30244487832,106.610998324324,39.2450009344048,56.05,61.3785517338282,4.0,0.0,95.3333333333333,238.059814139117,371.014250386753,50.6666666666667,3.0,15.9530078829951,0.279841463414634,5.11242619802349,0.0,0.222222222222222,0.829612403100775,0.0,45.3343407631281,0.0,45.5138908014321,58.9285714285714,475.548121568627
1100049,Cacoal (RO),RO,3793.0,97637.0,28808.4168491453,60.9468731590733,74.3507788488819,63.2901447035372,45.1996959248007,72.7879366330417,72.5910279609304,91.8352082648572,60.1889425366983,77.4542232482738,69.8406053626415,54.1577353596293,51.7080148436044,29.6129897849508,57.4504686652626,53.7675481605521,39.9677770884373,84.2513492119451,1370.88816892259,189.548032942002,11.7208418932158,3.88021553455401,81.3274394273011,66.7326199467803,79.4125,51.07125,84.7007673340323,84.9809897445294,91.8661489904036,99.0199236353564,27.5116212883028,5.4121095952193,23.9369353817826,84.7077238251983,0.633333333333333,4.0,7.28333333333333,17.5,5.39166666666667,3.58333333333333,82.93,26.77,89.77,94.3023694444445,76.0122785580235,74.27,2.10411601978372,501.26203074455,26.6465509928981,10.1280974138824,5.0794050864203,22.3045862124687,5.86969281940912,51.33,42.4285380741616,7.0,0.0,99.8888888888889,276.518987612312,342.87586437918,41.8888888888889,6.0,11.5206116753046,0.274542230741584,2.33173952126129,17.4463979619259,0.5,0.826865245527217,40.5970149253731,218.288420340512,68.6157517899762,55.1315770598504,66.3605051664753,536.692948507133
1100056,Cerejeiras (RO),RO,2783.297,16975.0,44091.9687835052,59.2402976173062,69.376478535014,60.5615460639145,47.7828682529901,77.47613738203,46.6811479791658,97.239677930508,56.1089508483521,73.8467736060672,64.2597986954145,55.2959652617199,48.8436466924565,35.6104226455002,52.3339808368769,70.5312989829102,32.655770546673,96.6763143919278,2440.30219242224,140.165305066431,11.098999503099,3.75423445739303,39.6709018031327,21.1217393371466,60.8875,42.1275,89.2460885554679,97.8099686238916,98.3221149174959,99.0043083634957,38.2262996941896,8.3084081090063,26.431718061674,22.6557583385777,0.4,5.78333333333333,9.51666666666667,21.0833333333333,5.38333333333333,6.93333333333333,89.1,3.82,89.85,94.6138722222222,75.295497382199,72.94,2.46615087040619,368.913163166558,28.1199576005104,6.29326620516049,0.824206134229714,58.3789202737919,5.03461296412838,50.39,22.1146449754044,10.0,0.0,107.0,361.775757804176,484.570190401708,32.3333333333333,3.0,13.5786173514989,0.291743917274939,1.88801524795469,1.25390014987887,0.444444444444444,0.735265197524438,0.0,44.8654037886341,73.1707317073171,42.1474610255908,51.1212466742683,515.67801637891
1100064,Colorado do Oeste (RO),RO,1451.063,16588.0,25796.243736436,59.2071242925562,70.385971393425,61.5673225387598,45.6680789454839,77.4286569335202,59.4260907731751,85.0744353568888,59.614702510116,80.6459534767565,60.9199849466616,57.529906473702,47.1734452579191,24.4834735388655,56.2071842915424,70.4240085857952,31.5576493657324,93.3233419009252,1246.76491188724,147.163752702541,7.94028779420822,4.40090570419559,78.3254263363941,5.27367544686389,77.65375,61.48125,86.5790267006903,91.1637276301637,61.9830874411206,94.3652284265663,23.3354075917859,9.5395573645383,17.8765242929196,17.8765242929196,0.233333333333333,1.75,5.08333333333333,15.15,5.56666666666667,5.18333333333333,79.14,0.39,90.03,94.5637111111111,69.1681973235371,73.81,2.15412232337479,351.108319013991,27.3486400702606,12.768945923514,5.61866803682466,64.0998230113912,0.0,52.46,51.4224627063637,1.0,4.0,95.3333333333333,238.059814139117,371.014250386753,50.6666666666667,3.0,12.5312559192553,0.276956055734191,6.68110948732682,24.8516902899989,0.545454545454545,0.851450522768043,0.0,33.0704655303994,41.7014178482069,38.0440102296367,50.933081998115,531.704446307788
1100072,Corumbiara (RO),RO,3060.321,8001.0,49946.7709536308,54.7777700840902,65.974866341157,51.4106796117252,46.9477642993884,75.3147349297134,28.7892790084774,82.9262714073917,76.8691800190454,75.7983203091702,39.0052871323761,58.8443152221526,31.9947957832017,29.3977599637233,47.5448927400886,84.4547018599447,26.3937026337972,94.8031496062992,555.0008480542,124.705315344355,28.4372289764431,3.34331826651008,17.4751717088764,17.0053576611361,25.3275,32.975,47.3598338510547,93.6729229662489,70.1467050664715,95.8160323090206,0.0,0.0,16.6245511371193,26.5992818193909,0.55,0.95,12.0666666666667,21.05,5.19166666666667,1.85,39.26,0.73,41.26,83.6532208333333,89.6586886255195,71.45,2.0703933747412,315.083605419245,19.858894624152,9.97473068227155,0.361050478401396,229.376644214691,39.8989227290863,62.64,58.1157964580237,3.0,4.0,107.0,361.775757804176,484.570190401708,32.3333333333333,2.0,19.6078882428659,0.302867857142857,1.13351921385823,0.0,0.0,0.634113430318364,0.0,13.8734739178691,0.0,39.7839938986887,45.2530322040987,489.305732388664
1100080,Costa Marques (RO),RO,4987.177,13522.0,23589.9052137258,53.6247359193834,61.2821856239575,53.230691455535,46.3613306786578,72.3791255321259,25.5744449425922,88.0236713454352,59.1515006756769,70.2337985982797,49.6180706870714,57.4736556837452,35.5972408530438,53.9303669956693,45.6988339557903,57.3161918039606,28.4999299592109,86.7017974774735,900.599023704499,169.02510831436,18.8150432423849,4.01304267108242,15.5714442878616,62.4679878741393,18.33875,74.77375,59.2820321069507,91.0790736902899,93.2850076322364,92.8506489792903,25.6986829424992,12.3193166885677,19.0068899976242,14.2551674982181,2.1,1.98333333333333,8.96666666666667,29.65,4.6,8.38333333333333,51.38,11.82,44.55,98.2500565217391,14.2857142857143,70.04,2.45018450184502,390.432593143032,24.6558189550793,5.27969166600671,0.868781560046204,161.150939564255,129.880414983765,52.41,44.089758280293,10.0,10.0,90.0,235.443456462012,352.33411682412,58.0,2.0,21.9004573024721,0.319768382352942,2.38287206462343,0.533191149026926,0.888888888888889,0.781006457359163,39.0243902439024,213.53482260184,98.2704402515725,36.1167598820383,47.5058004640371,480.466451450596
1100098,Espigão D'Oeste (RO),RO,4518.038,32717.0,23811.0670691078,55.7078295476094,65.5088140384846,57.9573412665832,43.6573333377604,75.9807793867525,42.2216642042709,82.2753359260316,61.5574766368833,77.0963379908658,54.2851778236422,58.8944973121282,41.5533519396965,27.8055079720917,52.8520934315124,62.9994663078586,30.9722656395788,86.0882625139553,1672.18420648562,115.917682546398,15.4072434045499,3.76838378404072,37.8154300126562,5.19328850912451,46.1,23.59125,71.4324243912479,84.8410211953264,62.3271616972427,96.4172786016353,29.8998355509045,5.45926027023339,23.8119536007076,27.1979329570953,1.4,2.4,9.68333333333333,16.6166666666667,5.46666666666667,1.25,69.76,13.16,61.59,84.4396129032258,57.2021116138764,74.15,2.52233981874644,372.575845903862,21.5979920969415,12.2390698306929,1.768576830647,79.0017564602444,76.1542122798667,52.9,39.3459279985888,7.0,0.0,99.0,429.275362968351,302.38667295888,52.6666666666667,5.0,16.5961834555753,0.306149393820884,4.80310196958873,7.96381892151461,0.363636363636364,0.954318344039971,9.3312597200622,60.0518629725672,62.65664160401,38.8848092582532,50.3783783783784,511.218911138251
1100106,Guajará-Mirim (RO),RO,24856.877,43553.0,24381.2023672307,53.9500045511877,65.3134754922484,56.1833259420548,40.3532122192597,65.1253094815164,44.1504348510748,85.1720493046266,66.8061083317758,65.9474816346262,63.3074953515814,58.6633135870097,36.815013195002,29.4416019704133,46.7845658298042,57.197495692547,27.9891853842743,66.6845990047861,2481.1029177214,173.677368154358,20.5595826909786,4.06561459486315,33.2059647062446,74.1538280635062,41.91125,57.04875,75.9722517244357,87.651608793501,85.1067487705841,86.7485661107844,10.4558762024258,1.69566249533693,14.2182501396435,10.1556351080306,4.43333333333333,5.0,8.1,33.2,4.51666666666667,7.6,83.86,15.36,75.95,92.8286972222223,60.9365715983363,74.39,2.46394524566121,457.187568308495,18.1157211663354,10.1556351080306,1.08931378630537,74.9409480040638,165.536852260898,59.96,5.29510941959381,3.0,5.0,106.0,371.851991918787,374.522956343203,52.4,3.0,21.5385280362198,0.317450572155118,2.10681526075255,0.255689082076196,0.153846153846154,0.780523502700744,24.3172465394688,125.139892155865,82.5715128280744,34.522350661738,43.0551828995618,496.457361997743
