period,test_year,model_type,best_params,rmse,mae,r2
1,2013.0,xgboost,"{'n_estimators': 131, 'max_depth': 10, 'learning_rate': 0.19852612768767353, 'subsample': 0.6205629202140523, 'colsample_bytree': 0.903574659436738, 'reg_alpha': 0.07815588061221856, 'reg_lambda': 2.314659048401224}",15.15642968881701,5.371401728819491,0.8686728531487493
1,2013.0,random_forest,"{'n_estimators': 366, 'max_depth': 22, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_features': None}",14.010336423748797,4.861908157209755,0.8877832158753028
2,2014.0,xgboost,"{'n_estimators': 449, 'max_depth': 10, 'learning_rate': 0.27410785685273537, 'subsample': 0.8973097522352331, 'colsample_bytree': 0.906792623140968, 'reg_alpha': 8.20566176152171, 'reg_lambda': 3.4909141714594205}",5.442814494466469,2.374049585129853,0.9759872672846701
2,2014.0,random_forest,"{'n_estimators': 149, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None}",6.0702169835587805,2.6249735401645733,0.9701322194049175
3,2015.0,xgboost,"{'n_estimators': 330, 'max_depth': 5, 'learning_rate': 0.07112206277249516, 'subsample': 0.7095251531986345, 'colsample_bytree': 0.954064430961586, 'reg_alpha': 7.529344967965076, 'reg_lambda': 1.550603079361272}",8.287990683260066,3.2141174198426423,0.959780353312306
3,2015.0,random_forest,"{'n_estimators': 378, 'max_depth': 26, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_features': None}",9.657046034537856,3.9180324857045767,0.945395511141566
4,2016.0,xgboost,"{'n_estimators': 260, 'max_depth': 6, 'learning_rate': 0.10757696217179966, 'subsample': 0.9977477903408618, 'colsample_bytree': 0.9066720665518202, 'reg_alpha': 9.744662295577978, 'reg_lambda': 3.3140972251256544}",17.654501797532554,4.592836999050041,0.8995654719481477
4,2016.0,random_forest,"{'n_estimators': 500, 'max_depth': 9, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': None}",14.705469640744607,4.287576129758188,0.9303165076873688
5,2017.0,xgboost,"{'n_estimators': 291, 'max_depth': 10, 'learning_rate': 0.2778599040197785, 'subsample': 0.9048758960069498, 'colsample_bytree': 0.9576751850115469, 'reg_alpha': 7.454382071423749, 'reg_lambda': 4.276973424296404}",13.191148260389808,4.010806993742681,0.893795967609398
5,2017.0,random_forest,"{'n_estimators': 134, 'max_depth': 27, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': None}",6.626466432292427,2.5447896192110253,0.9731996905917193
6,2018.0,xgboost,"{'n_estimators': 436, 'max_depth': 7, 'learning_rate': 0.24180623035133836, 'subsample': 0.7595705431834368, 'colsample_bytree': 0.8868942039175914, 'reg_alpha': 1.9347644566233955, 'reg_lambda': 2.140086102529397}",8.317422997343634,2.8736539521611135,0.9751652977448708
6,2018.0,random_forest,"{'n_estimators': 379, 'max_depth': 11, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None}",6.472988345576403,2.441157770770819,0.9849585040875846
7,2019.0,xgboost,"{'n_estimators': 169, 'max_depth': 8, 'learning_rate': 0.12284763094729323, 'subsample': 0.6091339572402815, 'colsample_bytree': 0.9226948237034288, 'reg_alpha': 3.473069768477169, 'reg_lambda': 1.7806821873833667}",32.14266672202177,8.37643386170035,0.8702143150322048
7,2019.0,random_forest,"{'n_estimators': 408, 'max_depth': 16, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}",26.65640658442401,7.236541983733212,0.9107380868163789
8,2020.0,xgboost,"{'n_estimators': 499, 'max_depth': 5, 'learning_rate': 0.1800640378952712, 'subsample': 0.8880803195867328, 'colsample_bytree': 0.9987939061438968, 'reg_alpha': 1.8115304530891208, 'reg_lambda': 4.2134516122093295}",27.58067661123881,4.85440235521875,0.921337607527827
8,2020.0,random_forest,"{'n_estimators': 406, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None}",28.684698374350553,6.050257478370218,0.9149140418191637
9,2021.0,xgboost,"{'n_estimators': 427, 'max_depth': 4, 'learning_rate': 0.26785352220979186, 'subsample': 0.8442412742945856, 'colsample_bytree': 0.9483558280118931, 'reg_alpha': 0.04866178220031603, 'reg_lambda': 6.467570983445364}",24.456033453774175,6.811591222903875,0.9422903554945837
9,2021.0,random_forest,"{'n_estimators': 220, 'max_depth': 28, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None}",18.125205180770173,4.727354026246939,0.9683012437319231
10,2022.0,xgboost,"{'n_estimators': 291, 'max_depth': 4, 'learning_rate': 0.2762677378410488, 'subsample': 0.8705563109933735, 'colsample_bytree': 0.9626318751256626, 'reg_alpha': 5.255852086205312, 'reg_lambda': 1.1249869486061614}",25.433023341397544,6.556325795413886,0.9234585354126412
10,2022.0,random_forest,"{'n_estimators': 426, 'max_depth': 24, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': None}",12.954274967736472,3.768055404950662,0.9801423884608667
11,2023.0,xgboost,"{'n_estimators': 60, 'max_depth': 3, 'learning_rate': 0.17173900957147378, 'subsample': 0.6017155364362686, 'colsample_bytree': 0.8943297091611948, 'reg_alpha': 7.0766182924596635, 'reg_lambda': 6.814769657876432}",14.561301411064283,5.806578663266952,0.9162039924840945
11,2023.0,random_forest,"{'n_estimators': 166, 'max_depth': 13, 'min_samples_split': 6, 'min_samples_leaf': 4, 'max_features': None}",32.928927961062946,7.885787260940764,0.5714730619078716
